name,price ($),weight (kg),length (m),width (m),height (m),shipment date,destination port
Running Shoes,43.31,0.64,0.41,0.22,0.14,2023-03-19,Port of Tianjin (China)
Office Chair,142.65,5.1,0.73,0.73,0.92,2023-03-16,Port of Shanghai (China)
Pallete of Beer Cases,208.46,577.75,1.05,0.8,1.19,2023-03-17,Port of Singapore (Singapore)
Roofing Shingles,29.34,9.13,0.68,0.6,0.06,2023-03-26,Port of Singapore (Singapore)
Coffee Maker,173.67,1.67,0.29,0.22,0.27,2023-03-23,Port of Singapore (Singapore)
Hiking Boots,142.55,1.29,0.36,0.24,0.25,2023-03-23,Port of Busan (South Korea)
Garden Shears,25.79,0.98,0.28,0.09,0.04,2023-03-26,Port of Tianjin (China)
Keyboard,220.84,0.42,1.22,0.54,0.13,2023-03-23,Port of Tianjin (China)
Guitar Case,84.77,4.81,1.12,0.58,1.12,2023-03-20,Port of Tokyo (Japan)
Garden Hose,28.91,1.84,27.51,0.47,0.12,2023-03-28,Port of Tianjin (China)
Sailboat,178100.08,2167.63,22.14,2.62,3.26,2023-03-22,Port of Tianjin (China)
Wooden Planks,41.19,12.05,1.6,0.2,0.67,2023-03-18,Port of Busan (South Korea)
Handheld Mixer,30.57,1.25,0.56,0.35,0.18,2023-03-15,Port of Shanghai (China)
Cookware Set,279.63,6.33,0.33,0.34,0.12,2023-03-14,Port of Tokyo (Japan)
Swim Goggles,7.13,0.12,0.11,0.08,0.08,2023-03-22,Port of Busan (South Korea)
Generators,2954.65,217.03,0.5,0.57,0.43,2023-03-28,Port of Singapore (Singapore)
Toaster,37.48,1.74,0.41,0.28,0.13,2023-03-19,Port of Tianjin (China)
Small Flat Rate Box,8.46,0.37,0.24,0.21,0.06,2023-03-15,Port of Tianjin (China)
Desktop Computer,682.17,7.76,0.5,0.53,0.63,2023-03-24,Port of Tianjin (China)
Camping Stove,76.41,0.74,0.23,0.28,0.07,2023-03-24,Port of Tokyo (Japan)
Mixed Dried Fruits,13.86,0.76,0.32,0.26,0.11,2023-03-22,Port of Shanghai (China)
Small Desk,190.69,19.47,0.85,0.61,0.87,2023-03-27,Port of Busan (South Korea)
Mixed Dried Fruits,17.15,0.56,0.31,0.26,0.11,2023-03-28,Port of Shanghai (China)
Microphone,219.6,0.13,0.06,0.1,0.15,2023-03-22,Port of Shanghai (China)
Umbrella,41.39,0.41,0.62,0.28,0.21,2023-03-15,Port of Busan (South Korea)
Portable Charger,25.95,0.44,0.11,0.05,0.04,2023-03-18,Port of Singapore (Singapore)
Wine Opener,10.75,0.71,0.14,0.12,0.05,2023-03-13,Port of Tianjin (China)
Pallete of Magazines,109.73,479.29,1.03,0.8,1.19,2023-03-23,Port of Tianjin (China)
Bicycle,253.76,19.89,1.66,1.18,1.08,2023-03-12,Port of Tianjin (China)
External Hard Drives,408.02,1.05,0.41,0.21,0.41,2023-03-26,Port of Singapore (Singapore)
Small Padded Envelope,4.66,0.16,0.17,0.06,0.03,2023-03-24,Port of Tianjin (China)
Pallete of Smartphones,5488.99,13216.64,0.39,0.31,0.1,2023-03-21,Port of Shanghai (China)
Bicycle,88.87,12.07,1.34,0.66,0.82,2023-03-24,Port of Tokyo (Japan)
Garden Hose,32.87,2.44,20.45,0.22,0.15,2023-03-23,Port of Tianjin (China)
Toilet Brush,7.64,0.55,0.17,0.1,0.38,2023-03-21,Port of Tianjin (China)
Mattress,171.71,25.64,1.83,1.38,0.27,2023-03-26,Port of Busan (South Korea)
Pallete of Cat Food,183.77,386.33,1.06,0.83,1.34,2023-03-24,Port of Tokyo (Japan)
Large Padded Envelope,6.65,0.14,0.25,0.19,0.04,2023-03-24,Port of Shanghai (China)
Bassinet,189.67,7.76,0.79,0.54,0.62,2023-03-22,Port of Tokyo (Japan)
Pool Table,841.49,194.23,2.27,1.31,0.59,2023-03-15,Port of Tianjin (China)
Box of Tea,42.57,1.05,0.46,0.21,0.18,2023-03-26,Port of Singapore (Singapore)
Pallete of Smartphones,7143.8,12549.56,0.41,0.38,0.05,2023-03-12,Port of Tokyo (Japan)
Big Bag with Fertilizer,87.99,684.77,1.06,0.72,0.16,2023-03-27,Port of Shanghai (China)
Pallete of Coffee,381.22,807.59,1.17,0.93,1.44,2023-03-14,Port of Tianjin (China)
Electric Shaver,46.33,0.24,0.13,0.04,0.07,2023-03-26,Port of Singapore (Singapore)
Pallete of Wine Bottles,325.53,882.36,1.41,0.81,0.27,2023-03-14,Port of Tianjin (China)
Tablet,386.28,0.6,0.2,0.29,0.05,2023-03-19,Port of Busan (South Korea)
Assorted Tea Bags,12.39,0.41,0.14,0.15,0.08,2023-03-15,Port of Shanghai (China)
Pallete of Cookies,113.72,204.97,1.14,0.98,1.24,2023-03-19,Port of Tianjin (China)
Hair Dryer,37.4,1.72,0.27,0.15,0.1,2023-03-24,Port of Singapore (Singapore)
Bassinet,266.4,6.25,0.82,0.57,0.69,2023-03-18,Port of Tokyo (Japan)
Small Flat Rate Box,7.4,0.19,0.32,0.11,0.09,2023-03-23,Port of Shanghai (China)
Soap Dispenser,13.17,0.31,0.17,0.19,0.21,2023-03-24,Port of Tokyo (Japan)
Handheld Mixer,34.65,1.15,0.58,0.36,0.16,2023-03-28,Port of Shanghai (China)
Toaster,51.93,1.69,0.52,0.23,0.12,2023-03-20,Port of Tokyo (Japan)
Golf Cart,4695.25,702.68,1.7,1.08,1.15,2023-03-20,Port of Shanghai (China)
Big Bag with Fertilizer,86.34,568.35,1.43,0.53,0.16,2023-03-19,Port of Tianjin (China)
Big Bag with Textile Scraps,137.86,1288.19,1.99,0.63,0.24,2023-03-22,Port of Shanghai (China)
Mattress,278.92,48.91,1.75,1.02,0.22,2023-03-19,Port of Tianjin (China)
Television,916.52,24.12,1.33,0.34,0.16,2023-03-20,Port of Busan (South Korea)
Headphones,82.45,0.46,0.15,0.13,0.13,2023-03-15,Port of Tianjin (China)
Insulation Rolls,12.88,7.63,1.2,0.86,0.05,2023-03-23,Port of Singapore (Singapore)
Sailboat,144947.52,567.71,11.22,2.54,4.24,2023-03-25,Port of Shanghai (China)
Large Flat Rate Box,27.7,0.85,1.09,0.6,0.35,2023-03-14,Port of Singapore (Singapore)
Gaming Console,902.62,2.86,0.37,0.32,0.12,2023-03-17,Port of Busan (South Korea)
Headphones,31.69,0.24,0.19,0.17,0.13,2023-03-26,Port of Tokyo (Japan)
E-Reader,116.11,0.29,0.11,0.19,0.01,2023-03-22,Port of Tokyo (Japan)
Rice,62.12,125.07,0.93,0.24,0.85,,Port of Tokyo (Japan)
Healthy Snack Pack,16.63,0.43,0.28,0.13,0.09,2023-03-12,Port of Tianjin (China)
Soap Dispenser,17.73,0.33,0.19,0.17,0.27,2023-03-24,Port of Tokyo (Japan)
Large Flat Rate Box,33.64,0.76,0.96,0.53,0.33,2023-03-17,Port of Busan (South Korea)
Smartphone,630.19,0.17,0.09,0.09,0.02,2023-03-28,Port of Shanghai (China)
Yoga Mat,29.16,2.29,1.3,0.71,0.03,2023-03-24,Port of Tianjin (China)
Large Padded Envelope,7.79,0.14,0.25,0.15,0.02,2023-03-15,Port of Tianjin (China)
Box of Pasta,6.21,0.31,0.29,0.16,0.2,2023-03-15,Port of Tokyo (Japan)
Medium Shipping Tube,13.96,0.24,0.37,0.21,0.71,2023-03-15,Port of Tianjin (China)
Pallete of Smartphones,7811.78,13073.39,0.47,0.47,0.1,2023-03-20,Port of Busan (South Korea)
Toy Car,28.43,0.43,0.3,0.25,0.19,2023-03-12,Port of Tokyo (Japan)
Assorted Tea Bags,14.19,0.62,0.19,0.17,0.09,2023-03-28,Port of Singapore (Singapore)
Cement Bag,33.19,20.64,0.36,0.4,0.35,2023-03-22,Port of Busan (South Korea)
Pallete of Paper Towels,239.26,661.58,1.34,1.19,0.51,2023-03-17,Port of Shanghai (China)
Stone Slabs,151.28,69.25,0.81,0.97,0.06,2023-03-15,Port of Shanghai (China)
Messenger Bag,22.88,1.85,0.26,0.32,0.19,2023-03-20,Port of Tianjin (China)
Extra Large Box,48.77,1.42,1.12,0.71,0.54,2023-03-27,Port of Tianjin (China)
Gaming Mouse,66.63,0.39,0.13,0.1,0.05,2023-03-21,Port of Shanghai (China)
Big Bag with Granules,72.89,865.27,1.06,0.65,0.28,2023-03-12,Port of Tianjin (China)
Box of Tea,68.99,1.13,0.74,0.25,0.26,2023-03-21,Port of Shanghai (China)
Tea Kettle,36.96,1.08,0.47,0.3,0.29,2023-03-14,Port of Shanghai (China)
Electric Drill,78.0,3.59,0.23,0.27,0.2,2023-03-12,Port of Busan (South Korea)
Jet Ski,2431.49,101.88,2.16,0.81,1.12,2023-03-16,Port of Tokyo (Japan)
Large Box,37.09,1.0,0.87,0.43,0.35,2023-03-18,Port of Busan (South Korea)
Sailboat,83887.44,1005.2,13.41,3.43,5.56,2023-03-20,Port of Tokyo (Japan)
Backpacking Tent,158.66,3.28,1.9,1.94,1.05,2023-03-21,Port of Shanghai (China)
Camera Bag,40.04,1.4,0.3,0.42,0.23,2023-03-21,Port of Tokyo (Japan)
Pallete of Snacks,123.12,434.37,1.09,0.87,1.39,2023-03-17,Port of Singapore (Singapore)
Wetsuit,125.33,1.7,0.53,0.39,0.14,2023-03-20,Port of Singapore (Singapore)
Kitchen Knife Set,90.78,2.33,0.62,0.19,0.04,2023-03-24,Port of Tianjin (China)
Office Chair,137.12,11.35,0.72,0.51,1.06,2023-03-16,Port of Tianjin (China)
Bag of Flour,5.35,0.74,0.26,0.21,0.19,2023-03-27,Port of Tokyo (Japan)
Pallete of Cat Food,125.2,397.71,1.08,0.97,1.24,2023-03-15,Port of Tianjin (China)
Tea Kettle,38.44,1.2,0.42,0.33,0.23,2023-03-16,Port of Busan (South Korea)
Box of Toys,91.48,3.29,0.29,0.36,0.5,2023-03-25,Port of Singapore (Singapore)
Pallete of Magazines,126.4,430.85,1.42,0.8,1.09,2023-03-20,Port of Tianjin (China)
Pallete of Smartphones,7245.29,12057.01,0.41,0.44,0.05,2023-03-12,Port of Busan (South Korea)
Camera,920.21,1.06,0.16,0.17,0.09,2023-03-28,Port of Tianjin (China)
Computer,501.95,3.7,0.3,0.56,0.11,2023-03-26,Port of Busan (South Korea)
Microphone,163.28,0.29,0.07,0.08,0.12,2023-03-21,Port of Shanghai (China)
Big Bag with Textile Scraps,103.0,1580.45,1.69,1.03,0.16,2023-03-27,Port of Tokyo (Japan)
Small Shipping Tube,5.83,0.29,0.3,0.06,0.46,2023-03-18,Port of Tokyo (Japan)
Big Bag with Sand,50.8,998.23,1.47,0.68,0.1,2023-03-12,Port of Tokyo (Japan)
Piano,3392.67,314.86,1.6,1.68,1.07,2023-03-21,Port of Shanghai (China)
Pallete of Magazines,128.47,486.78,1.2,0.8,1.17,2023-03-27,Port of Shanghai (China)
Big Bag with Food Ingredients,122.9,932.42,1.23,0.82,0.24,2023-03-13,Port of Singapore (Singapore)
Sprinkler System,332.16,8.6,0.98,0.86,0.13,2023-03-19,Port of Singapore (Singapore)
Weed Whacker,170.44,3.75,0.98,0.22,0.2,2023-03-20,Port of Singapore (Singapore)
Microphone,251.73,0.22,0.05,0.05,0.19,2023-03-17,Port of Tokyo (Japan)
Table Lamp,58.64,0.75,0.27,0.22,0.39,2023-03-13,Port of Tianjin (China)
Rice,41.5,190.72,0.8,0.33,0.5,2023-03-19,Port of Shanghai (China)
Extra Large Box,41.38,1.26,1.46,0.64,0.59,2023-03-22,Port of Tokyo (Japan)
Hiking Boots,137.81,2.41,0.45,0.37,0.39,2023-03-13,Port of Tianjin (China)
Breakfast Bundle,25.41,1.49,0.65,0.46,0.27,2023-03-12,Port of Shanghai (China)
Hedge Trimmer,136.57,3.39,1.03,0.2,0.16,2023-03-25,Port of Singapore (Singapore)
Digital Camera,413.59,0.62,0.14,0.1,0.07,2023-03-26,Port of Busan (South Korea)
Extra Large Box,59.06,1.19,1.1,0.61,0.52,2023-03-22,Port of Shanghai (China)
Air Conditioner,1077.21,59.85,1.22,0.51,0.29,2023-03-18,Port of Busan (South Korea)
Pallete of Orange Juice,232.6,571.69,1.12,0.87,1.48,2023-03-20,Port of Shanghai (China)
Pallete of Breakfast Cereal,182.29,440.5,1.09,0.92,1.29,2023-03-28,Port of Tianjin (China)
Pallete of Books,284.6,976.75,1.11,0.8,1.02,2023-03-25,Port of Busan (South Korea)
Leaf Blower,119.96,7.95,0.62,0.27,0.21,2023-03-17,Port of Singapore (Singapore)
Yoga Mat,31.89,2.48,1.78,0.7,0.03,2023-03-14,Port of Shanghai (China)
Pallete of Books,167.04,832.93,0.68,0.32,1.11,2023-03-26,Port of Singapore (Singapore)
Water Heater,166.47,7.61,0.54,0.25,0.12,2023-03-14,Port of Singapore (Singapore)
Pallete of Coffee,369.54,807.37,1.04,0.95,1.35,2023-03-25,Port of Tianjin (China)
Pallete of Toys,249.65,1303.25,1.03,0.81,1.34,2023-03-12,Port of Shanghai (China)
Big Bag with Grains,78.89,437.19,1.23,0.97,0.17,2023-03-28,Port of Shanghai (China)
Sprinkler System,270.92,6.73,0.74,0.7,0.12,2023-03-16,Port of Tianjin (China)
Fan,35.65,2.32,0.21,0.36,0.34,2023-03-17,Port of Tokyo (Japan)
Couch,233.77,77.93,1.95,0.93,0.97,2023-03-28,Port of Singapore (Singapore)
Pallete of Chairs,1493.97,3067.19,1.79,1.42,1.44,2023-03-12,Port of Busan (South Korea)
ATV,3733.45,654.0,2.32,1.25,1.02,2023-03-16,Port of Singapore (Singapore)
Garden Rake,16.02,1.19,0.8,0.32,0.47,2023-03-26,Port of Shanghai (China)
Armchair,663.34,29.78,0.68,0.73,0.8,2023-03-22,Port of Tokyo (Japan)
Mixed Dried Fruits,11.2,0.7,0.39,0.25,0.15,2023-03-26,Port of Tokyo (Japan)
Desk Lamp,59.28,0.72,0.17,0.14,0.36,2023-03-28,Port of Tokyo (Japan)
Dining Table,709.02,77.53,1.43,0.98,0.67,2023-03-13,Port of Tianjin (China)
Motorcycle,2143.82,271.12,2.41,1.05,1.04,2023-03-18,Port of Singapore (Singapore)
Large Shipping Tube,29.86,0.63,0.71,0.39,1.49,2023-03-25,Port of Busan (South Korea)
Rain Jacket,61.54,0.81,0.32,0.33,0.12,2023-03-21,Port of Shanghai (China)
Glass Sheets,61.49,37.77,1.07,1.17,0.06,2023-03-13,Port of Busan (South Korea)
Box of Pasta,4.09,0.31,0.27,0.19,0.12,2023-03-25,Port of Shanghai (China)
Picture Frame,16.18,0.48,0.22,0.1,0.02,2023-03-15,Port of Tianjin (China)
Dining Table,928.0,64.45,0.87,0.86,0.75,2023-03-24,Port of Singapore (Singapore)
Pallete of Paper Towels,278.74,617.22,1.33,0.83,0.7,2023-03-18,Port of Singapore (Singapore)
Bicycle,227.45,13.03,1.47,1.09,1.13,2023-03-12,Port of Shanghai (China)
Large Box,23.31,0.62,0.99,0.41,0.38,2023-03-15,Port of Tianjin (China)
Wooden Planks,45.95,19.59,1.19,0.15,0.52,2023-03-20,Port of Tianjin (China)
Printer,260.1,8.4,0.31,0.42,0.31,2023-03-20,Port of Tianjin (China)
Large Padded Envelope,6.47,0.2,0.2,0.17,0.08,2023-03-23,Port of Singapore (Singapore)
Sailboat,456402.31,889.96,18.11,5.41,5.96,2023-03-12,Port of Shanghai (China)
Sleeping Bag,61.77,2.14,1.02,0.53,0.25,2023-03-21,Port of Tianjin (China)
Garden Hose,33.24,4.51,18.29,0.3,0.18,2023-03-16,Port of Tokyo (Japan)
Fridge,1146.45,103.01,1.07,0.79,0.74,2023-03-22,Port of Busan (South Korea)
Running Shoes,45.14,0.78,0.4,0.28,0.13,2023-03-13,Port of Shanghai (China)
Big Bag with Glass Scraps,185.69,1121.14,1.58,1.11,0.23,2023-03-16,Port of Singapore (Singapore)
Pallete of Smartphones,5749.39,13398.82,0.28,0.43,0.07,2023-03-16,Port of Singapore (Singapore)
Sprinkler System,484.6,9.49,0.64,0.99,0.19,2023-03-20,Port of Shanghai (China)
Toilet Brush,5.14,0.48,0.13,0.1,0.36,2023-03-26,Port of Singapore (Singapore)
Big Bag with Chemicals,151.21,727.22,1.27,0.54,0.11,2023-03-28,Port of Busan (South Korea)
Air Conditioners,1224.59,166.78,0.9,0.41,0.66,2023-03-12,Port of Tianjin (China)
Duffel Bag,48.85,2.49,0.58,0.55,0.23,2023-03-24,Port of Singapore (Singapore)
TV,1952.67,20.97,1.93,1.82,0.38,2023-03-14,Port of Tianjin (China)
Big Bag with Coal,136.86,1577.99,1.72,1.16,0.21,2023-03-15,Port of Tokyo (Japan)
Microwave,114.13,14.5,0.56,0.49,0.24,2023-03-12,Port of Busan (South Korea)
Guitar,420.33,2.42,0.39,0.11,0.16,2023-03-12,Port of Tianjin (China)
Pallete of Wine Bottles,390.78,814.46,1.2,0.55,1.19,2023-03-21,Port of Singapore (Singapore)
Stone Slabs,193.25,71.82,0.88,0.64,0.05,2023-03-18,Port of Shanghai (China)
Pallete of Smartphones,5053.63,12323.28,0.36,0.34,0.1,2023-03-13,Port of Tokyo (Japan)
Refrigerator,1241.54,72.6,0.69,0.66,1.11,2023-03-19,Port of Singapore (Singapore)
Palette Water Bottles,545.44,772.58,1.2,0.88,1.0,2023-03-25,Port of Shanghai (China)
Sunglasses,59.24,0.23,0.17,0.08,0.04,2023-03-16,Port of Singapore (Singapore)
Microwave,182.98,13.83,0.43,0.42,0.27,2023-03-16,Port of Shanghai (China)
Big Bag with Food Ingredients,176.75,682.17,1.5,0.71,0.27,2023-03-21,Port of Tokyo (Japan)
Box of Chocolate Bar,39.32,1.45,0.79,0.25,0.26,2023-03-22,Port of Busan (South Korea)
Large Box,20.07,0.73,0.94,0.56,0.34,2023-03-26,Port of Shanghai (China)
Television,703.56,23.08,1.15,0.29,0.1,2023-03-18,Port of Tokyo (Japan)
Sleeping Bag,95.84,1.86,1.19,0.73,0.48,2023-03-26,Port of Singapore (Singapore)
Coffee Table,70.41,12.21,1.05,0.53,0.43,2023-03-25,Port of Singapore (Singapore)
Big Bag with Food Ingredients,159.84,912.54,1.23,0.96,0.29,2023-03-24,Port of Singapore (Singapore)
Steel Bars,141.0,85.46,2.5,0.16,0.77,2023-03-12,Port of Tokyo (Japan)
Big Bag with Paper Scraps,81.45,1400.5,1.6,0.93,0.1,2023-03-14,Port of Shanghai (China)
Big Bag with Paper Scraps,84.98,1274.13,1.52,0.65,0.12,2023-03-13,Port of Tianjin (China)
Garden Sprayer,47.5,2.61,0.22,0.34,0.23,2023-03-17,Port of Busan (South Korea)
Fruit Basket,34.45,2.87,0.48,0.24,0.23,2023-03-17,Port of Tianjin (China)
Laptop,1087.79,1.61,0.27,0.37,0.05,2023-03-16,Port of Shanghai (China)
Large Padded Envelope,7.92,0.14,0.23,0.19,0.04,2023-03-16,Port of Singapore (Singapore)
Bicycle,75.5,13.43,1.22,0.66,0.99,2023-03-24,Port of Busan (South Korea)
Small Bubble Mailer,4.17,0.06,0.18,0.06,0.05,2023-03-23,Port of Shanghai (China)
Refrigerator,1321.74,90.42,0.76,0.88,0.86,2023-03-24,Port of Busan (South Korea)
Leaf Blower,197.41,5.65,0.99,0.39,0.38,2023-03-22,Port of Singapore (Singapore)
Drone,1224.18,1.52,0.82,0.31,0.12,2023-03-23,Port of Singapore (Singapore)
Tablets,2292.16,0.54,0.97,0.32,0.17,2023-03-28,Port of Tianjin (China)
Small Boat,5756.55,515.44,4.24,2.34,2.19,2023-03-22,Port of Busan (South Korea)
Hoe,12.38,1.84,1.17,0.27,0.24,2023-03-13,Port of Busan (South Korea)
Pallete of Glassware,525.14,622.12,1.04,0.96,0.6,2023-03-13,Port of Singapore (Singapore)
Bed,355.77,75.15,2.14,1.89,1.3,2023-03-20,Port of Tokyo (Japan)
Computer Monitor,474.31,3.93,0.78,0.28,0.11,2023-03-28,Port of Shanghai (China)
Pallete of Chips,129.88,281.86,1.0,0.89,1.28,2023-03-27,Port of Singapore (Singapore)
Soccer Ball,17.99,0.48,0.25,0.22,0.23,2023-03-25,Port of Shanghai (China)
Apples,46.56,194.74,0.71,0.6,0.7,2023-03-20,Port of Busan (South Korea)
Duffel Bag,55.55,1.92,0.43,0.47,0.24,2023-03-19,Port of Shanghai (China)
Gardening Gloves,8.26,0.25,0.15,0.06,0.03,2023-03-22,Port of Busan (South Korea)
Medium Box,15.93,0.41,0.56,0.31,0.29,2023-03-21,Port of Singapore (Singapore)
Toilet Brush,9.13,0.53,0.15,0.1,0.36,2023-03-15,Port of Tokyo (Japan)
Running Shoes,91.56,0.8,0.4,0.2,0.14,2023-03-28,Port of Shanghai (China)
Tennis Racket,40.24,0.41,0.62,0.22,0.12,2023-03-23,Port of Singapore (Singapore)
Medium Box,10.68,0.31,0.55,0.33,0.22,2023-03-20,Port of Busan (South Korea)
Microwave Oven,50.48,12.89,0.55,0.57,0.22,2023-03-12,Port of Tokyo (Japan)
Sofa,1583.9,61.08,2.04,1.42,0.99,2023-03-12,Port of Tokyo (Japan)
Headphones,35.37,0.28,0.11,0.11,0.13,2023-03-13,Port of Shanghai (China)
Pallete of Wine Bottles,466.09,982.1,1.04,1.0,0.26,2023-03-18,Port of Shanghai (China)
ATV,1969.32,339.48,2.21,1.24,1.09,2023-03-22,Port of Tianjin (China)
Bag of Flour,7.06,0.98,0.37,0.29,0.17,2023-03-14,Port of Singapore (Singapore)
Medium Box,10.35,0.35,0.45,0.32,0.24,2023-03-16,Port of Tokyo (Japan)
Box of Pasta,4.42,0.5,0.25,0.12,0.12,2023-03-17,Port of Singapore (Singapore)
Generators,2707.12,65.55,0.61,0.42,0.5,2023-03-26,Port of Tokyo (Japan)
Pallete of Chairs,1121.2,3563.55,1.65,1.28,1.24,2023-03-27,Port of Shanghai (China)
Flute,79.68,0.11,0.18,0.01,0.05,2023-03-19,Port of Busan (South Korea)
Kitchen Timer,12.39,0.11,0.13,0.19,0.16,2023-03-27,Port of Tianjin (China)
MDF Boards,20.2,5.5,1.6,0.87,0.06,2023-03-12,Port of Singapore (Singapore)
Speakers,336.72,3.64,0.33,0.26,0.4,2023-03-25,Port of Singapore (Singapore)
Briefcase,44.16,1.34,0.41,0.62,0.25,2023-03-25,Port of Tianjin (China)
Hedge Trimmer,136.08,3.2,0.81,0.26,0.17,2023-03-14,Port of Singapore (Singapore)
Pallete of Cleaning Products,215.03,786.8,1.18,0.94,1.32,2023-03-18,Port of Shanghai (China)
Gaming Mouse,40.29,0.4,0.11,0.06,0.04,2023-03-12,Port of Tokyo (Japan)
Tablet,721.24,1.07,0.18,0.39,0.02,2023-03-19,Port of Busan (South Korea)
Steel Bars,140.93,51.78,2.95,0.1,0.97,2023-03-19,Port of Shanghai (China)
Running Shoes,97.35,0.77,0.32,0.24,0.19,2023-03-14,Port of Busan (South Korea)
Lawn Edger,147.01,9.24,1.12,0.3,0.38,2023-03-25,Port of Singapore (Singapore)
Leaf Blower,91.38,3.4,0.95,0.31,0.26,2023-03-22,Port of Tianjin (China)
Mattress,271.2,49.63,1.92,1.14,0.27,2023-03-17,Port of Tokyo (Japan)
Washing machine,688.19,89.06,0.69,0.78,0.84,2023-03-23,Port of Busan (South Korea)
Big Bag with Paper Scraps,87.89,1261.33,1.86,1.15,0.12,2023-03-15,Port of Shanghai (China)
Roofing Shingles,23.72,9.56,0.92,0.66,0.09,2023-03-25,Port of Busan (South Korea)
Skipping Rope,5.07,0.13,1.85,0.1,0.02,2023-03-12,Port of Tokyo (Japan)
Garden Hose,17.27,4.93,11.53,0.17,0.21,2023-03-22,Port of Tianjin (China)
Pallete of Crackers,128.95,246.69,1.04,0.95,1.48,2023-03-26,Port of Tokyo (Japan)
Gaming Console,975.75,3.14,0.36,0.2,0.11,,Port of Tokyo (Japan)
Soccer Ball,27.34,0.47,0.22,0.23,0.22,2023-03-25,Port of Busan (South Korea)
Large Flat Rate Box,34.61,1.05,0.85,0.62,0.31,2023-03-12,Port of Shanghai (China)
Large Box,33.23,0.82,0.76,0.57,0.36,2023-03-18,Port of Tokyo (Japan)
Headphones,187.96,0.28,0.17,0.2,0.08,2023-03-15,Port of Busan (South Korea)
Box of Chocolate Bar,32.44,1.09,0.56,0.23,0.18,2023-03-16,Port of Tokyo (Japan)
Jet Ski,4131.03,111.51,1.83,1.45,1.33,2023-03-18,Port of Busan (South Korea)
Pallete of Beer Cases,262.94,554.27,1.06,0.8,1.15,2023-03-28,Port of Shanghai (China)
Steel Bars,103.44,99.16,2.15,0.16,0.69,2023-03-25,Port of Busan (South Korea)
Assorted Tea Bags,8.66,0.43,0.11,0.2,0.08,2023-03-26,Port of Singapore (Singapore)
Backpacking Tent,432.26,2.6,1.58,1.3,1.28,2023-03-28,Port of Busan (South Korea)
Violin,601.54,1.82,0.13,0.07,0.05,2023-03-21,Port of Tianjin (China)
Pallete of Smartphones,6227.86,12016.97,0.31,0.33,0.09,2023-03-15,Port of Singapore (Singapore)
Pallete of Apples,56.49,235.02,1.02,0.83,0.52,2023-03-23,Port of Shanghai (China)
Pallete of Glassware,533.25,684.42,1.39,0.94,0.68,2023-03-18,Port of Shanghai (China)
Pallete of Tables,2308.42,5672.68,1.69,1.05,1.09,2023-03-28,Port of Tokyo (Japan)
Cement Bag,40.52,21.07,0.34,0.38,0.31,2023-03-28,Port of Singapore (Singapore)
Refrigerator,1346.31,121.06,1.35,0.85,1.12,2023-03-20,Port of Tokyo (Japan)
Portable Charger,38.54,0.27,0.1,0.06,0.04,2023-03-24,Port of Tianjin (China)
Sprinkler System,366.75,9.26,0.61,0.59,0.2,2023-03-25,Port of Shanghai (China)
Metal Pipes,57.78,50.06,2.16,0.16,1.37,2023-03-25,Port of Tianjin (China)
Pallete of Tables,2123.98,5600.61,1.65,1.1,1.17,2023-03-17,Port of Singapore (Singapore)
Resistance Loop Bands,30.78,0.42,0.15,0.03,0.03,2023-03-17,Port of Tokyo (Japan)
Vacuum Cleaner,395.92,4.74,0.45,0.37,0.2,2023-03-24,Port of Tianjin (China)
Running Shoes,67.98,0.99,0.32,0.29,0.13,2023-03-25,Port of Busan (South Korea)
Bookshelf,499.51,29.78,0.75,0.86,1.15,2023-03-21,Port of Tokyo (Japan)
Washing machine,549.74,80.7,0.76,0.64,0.57,2023-03-16,Port of Tokyo (Japan)
Desk Lamp,33.54,1.23,0.22,0.17,0.29,2023-03-24,Port of Tokyo (Japan)
Hiking Boots,59.41,1.83,0.35,0.21,0.24,2023-03-17,Port of Tokyo (Japan)
Big Bag with Food Ingredients,164.58,984.76,1.32,0.88,0.27,2023-03-21,Port of Busan (South Korea)
Oranges,132.4,274.24,0.6,0.61,0.7,2023-03-17,Port of Tokyo (Japan)
Box of Pasta,4.8,0.46,0.26,0.1,0.13,2023-03-18,Port of Shanghai (China)
Snowboard,320.17,2.64,1.43,0.47,0.05,2023-03-14,Port of Shanghai (China)
Compost Bin,51.0,10.57,0.73,0.85,0.51,2023-03-23,Port of Tianjin (China)
Hedge Trimmer,104.59,4.78,1.19,0.22,0.12,2023-03-18,Port of Shanghai (China)
Pallete of Books,164.47,857.44,0.52,0.3,1.03,2023-03-28,Port of Busan (South Korea)
Plant,22.56,1.72,0.46,0.23,0.39,2023-03-21,Port of Singapore (Singapore)
Bed,899.95,53.12,2.4,1.19,0.76,2023-03-24,Port of Shanghai (China)
Swim Goggles,11.1,0.16,0.14,0.1,0.06,2023-03-12,Port of Shanghai (China)
Plant,16.67,1.3,0.41,0.29,0.42,2023-03-21,Port of Singapore (Singapore)
Small Shipping Tube,6.56,0.2,0.23,0.09,0.32,2023-03-23,Port of Busan (South Korea)
Beach Towel,12.97,0.81,1.77,0.91,0.12,2023-03-22,Port of Shanghai (China)
Compost Bin,63.27,10.55,0.99,0.7,0.88,2023-03-25,Port of Busan (South Korea)
Electric Toothbrush,76.09,0.16,0.17,0.03,0.08,2023-03-20,Port of Tokyo (Japan)
